,timestamp,close,high,low,trade_count,open,volume,vwap,calculated_percentage,calculated_volatility
0,2024-05-01 00:00:00,501.3,501.98,501.3,3,501.98,336,501.3,-0.0013546356428543104,0.0013564731697586411
1,2024-05-01 08:00:00,500.73,501.0,500.65,50,500.76,2756,500.849111,-5.9908938413556825e-05,0.0006990911814641421
2,2024-05-01 08:01:00,500.74,500.75,500.74,20,500.75,1157,500.741876,-1.9970044932582937e-05,1.997044374324181e-05
3,2024-05-01 08:02:00,500.76,500.76,500.74,8,500.74,396,500.766742,3.994088748648362e-05,3.994088748648362e-05
4,2024-05-01 08:03:00,500.74,500.74,500.74,3,500.74,177,500.740339,0.0,0.0
5,2024-05-01 08:04:00,500.8,500.8,500.75,9,500.75,367,500.784823,9.98502246630282e-05,9.98502246630282e-05
6,2024-05-01 08:05:00,501.0,501.0,501.0,3,501.0,196,500.932908,0.0,0.0
7,2024-05-01 08:06:00,501.01,501.01,501.01,4,501.01,534,501.010824,0.0,0.0
8,2024-05-01 08:07:00,501.07,501.09,501.04,12,501.09,1976,501.06667,-3.991298968245587e-05,9.979243174188592e-05
9,2024-05-01 08:10:00,500.9,500.91,500.89,9,500.91,1526,500.897864,-1.9963666127743004e-05,3.992892651088793e-05
10,2024-05-01 08:13:00,500.85,500.85,500.85,6,500.85,169,500.853846,0.0,0.0
11,2024-05-01 08:16:00,500.86,500.86,500.85,11,500.85,1906,500.852623,1.9966057701888598e-05,1.9966057701888598e-05
12,2024-05-01 08:19:00,500.71,500.71,500.71,13,500.71,1710,500.709345,0.0,0.0
13,2024-05-01 08:20:00,500.67,500.67,500.67,8,500.67,1048,500.67041,0.0,0.0
14,2024-05-01 08:21:00,500.8,500.8,500.8,2,500.8,1050,500.801905,0.0,0.0
15,2024-05-01 08:23:00,500.89,500.89,500.85,6,500.85,1857,500.886187,7.986423080755439e-05,7.986423080755439e-05
16,2024-05-01 08:26:00,501.0,501.0,501.0,4,501.0,203,500.998522,0.0,0.0
17,2024-05-01 08:29:00,500.86,500.86,500.86,3,500.86,205,500.860146,0.0,0.0
18,2024-05-01 08:31:00,500.85,500.85,500.85,2,500.85,400,500.850225,0.0,0.0
19,2024-05-01 08:33:00,500.9,500.9,500.9,1,500.9,100,500.9,0.0,0.0
20,2024-05-01 08:38:00,500.84,500.84,500.84,7,500.84,909,500.840044,0.0,0.0
21,2024-05-01 08:39:00,500.84,500.84,500.84,14,500.84,1601,500.83985,0.0,0.0
22,2024-05-01 08:43:00,500.67,500.67,500.64,9,500.65,881,500.659478,3.9948067512311304e-05,5.992329817839078e-05
23,2024-05-01 08:44:00,500.64,500.66,500.64,8,500.66,1546,500.645498,-3.994726960419976e-05,3.9948865452298366e-05
24,2024-05-01 09:03:00,500.66,500.75,500.66,12,500.75,1721,500.689808,-0.00017973040439335993,0.00017976271321850154
25,2024-05-01 09:07:00,500.56,500.56,500.56,6,500.56,204,500.585147,0.0,0.0
26,2024-05-01 09:08:00,500.17,500.32,500.17,24,500.32,874,500.251236,-0.0002998081228013617,0.00029989803466816737
27,2024-05-01 09:09:00,500.04,500.04,500.0,127,500.01,1495,500.008776,5.9998800024058635e-05,8.000000000004092e-05
28,2024-05-01 09:10:00,500.0,500.11,500.0,12,500.06,1163,500.071702,-0.00011998560172779721,0.00022000000000002728
29,2024-05-01 09:15:00,500.21,500.21,500.21,3,500.21,122,500.20541,0.0,0.0
30,2024-05-01 09:16:00,500.23,500.23,500.23,3,500.23,141,500.223759,0.0,0.0
31,2024-05-01 09:18:00,500.23,500.23,500.23,9,500.23,408,500.229289,0.0,0.0
32,2024-05-01 09:19:00,500.22,500.22,500.22,3,500.22,180,500.219444,0.0,0.0
33,2024-05-01 09:20:00,500.19,500.2,500.19,4,500.2,451,500.171308,-1.999200319870233e-05,1.9992402886884794e-05
34,2024-05-01 09:22:00,500.09,500.09,500.09,5,500.09,455,500.094527,0.0,0.0
35,2024-05-01 09:24:00,500.21,500.21,500.17,7,500.17,311,500.182797,7.997280924478402e-05,7.997280924478402e-05
36,2024-05-01 09:28:00,500.14,500.14,500.12,4,500.12,1601,500.135022,3.99904023034108e-05,3.99904023034108e-05
37,2024-05-01 09:29:00,500.0,500.12,500.0,21,500.12,569,500.067891,-0.00023994241382069214,0.00024000000000000909
38,2024-05-01 09:30:00,499.97,499.97,499.97,3,499.97,400,499.97,0.0,0.0
39,2024-05-01 09:31:00,499.75,499.81,499.74,25,499.81,1801,499.763778,-0.0001200456173345917,0.00014007283787568172
40,2024-05-01 09:32:00,499.64,499.64,499.64,13,499.64,369,499.640244,0.0,0.0
41,2024-05-01 09:33:00,499.67,499.67,499.67,3,499.67,169,499.693432,0.0,0.0
