,timestamp,close,high,low,trade_count,open,volume,vwap,calculated_percentage,calculated_volatility
0,2023-03-22 08:00:00,397.79,397.94,397.79,66,397.94,11766,397.873943,-0.00037694124742417766,0.00037708338570596864
1,2023-03-22 08:01:00,397.85,397.85,397.84,9,397.85,554,397.845668,0.0,2.5135732958093076e-05
2,2023-03-22 08:02:00,397.87,397.88,397.86,14,397.86,3183,397.871634,2.5134469411327866e-05,5.026893882265573e-05
3,2023-03-22 08:03:00,397.81,397.93,397.81,12,397.93,1353,397.910037,-0.00030156057598071156,0.0003016515421935209
4,2023-03-22 08:04:00,397.77,397.8,397.75,26,397.8,4942,397.791176,-7.541478129720854e-05,0.0001257071024513171
5,2023-03-22 08:05:00,397.85,397.9,397.85,14,397.87,1343,397.867007,-5.026767537130673e-05,0.0001256755058437967
6,2023-03-22 08:06:00,397.75,397.86,397.75,23,397.86,2398,397.769112,-0.0002764791635248923,0.000276555625392869
7,2023-03-22 08:07:00,397.87,397.89,397.75,8,397.75,572,397.853112,0.0003016970458831038,0.0003519798868635735
8,2023-03-22 08:08:00,397.98,397.98,397.95,16,397.98,3192,397.961341,0.0,7.538635506980666e-05
9,2023-03-22 08:09:00,397.87,397.94,397.87,2,397.94,509,397.890629,-0.00017590591546462578,0.00017593686379971642
10,2023-03-22 08:10:00,397.9,397.9,397.9,8,397.9,202,397.891535,0.0,0.0
11,2023-03-22 08:11:00,397.94,397.95,397.94,5,397.95,335,397.936955,-2.512878502322127e-05,2.5129416494926133e-05
12,2023-03-22 08:12:00,398.03,398.03,397.97,9,397.97,1108,398.014765,0.00015076513305009278,0.00015076513305009278
13,2023-03-22 08:13:00,397.97,398.09,397.97,13,398.03,1684,398.050534,-0.00015074240635114296,0.0003015302661003284
14,2023-03-22 08:14:00,397.8,397.8,397.8,11,397.8,292,397.831473,0.0,0.0
15,2023-03-22 08:15:00,397.75,397.81,397.73,19,397.81,3318,397.759298,-0.00015082577109676044,0.00020114147788696874
16,2023-03-22 08:17:00,397.65,397.75,397.65,16,397.75,1488,397.70834,-0.0002514142049026342,0.0002514774299007236
17,2023-03-22 08:18:00,397.55,397.55,397.55,13,397.55,372,397.560565,0.0,0.0
18,2023-03-22 08:19:00,397.53,397.54,397.51,7,397.51,840,397.53281,5.031319966788712e-05,7.546979950197369e-05
19,2023-03-22 08:20:00,397.47,397.54,397.47,21,397.5,2734,397.500483,-7.547169811313891e-05,0.00017611392054744552
20,2023-03-22 08:21:00,397.52,397.52,397.52,5,397.52,399,397.513409,0.0,0.0
21,2023-03-22 08:22:00,397.6,397.6,397.56,5,397.56,619,397.583118,0.00010061374383745967,0.00010061374383745967
22,2023-03-22 08:23:00,397.64,397.64,397.63,9,397.63,1414,397.638487,2.514900787161659e-05,2.514900787161659e-05
23,2023-03-22 08:24:00,397.69,397.72,397.69,10,397.72,425,397.6992,-7.542995071917317e-05,7.543564082584314e-05
24,2023-03-22 08:25:00,397.78,397.78,397.65,14,397.66,4143,397.655412,0.00030176532716377736,0.0003269206588708549
25,2023-03-22 08:26:00,397.84,397.87,397.84,13,397.87,2525,397.844836,-7.540151305710297e-05,7.540719887399346e-05
26,2023-03-22 08:27:00,397.8,397.8,397.8,7,397.8,567,397.795414,0.0,0.0
27,2023-03-22 08:28:00,397.67,397.67,397.67,7,397.67,243,397.663786,0.0,0.0
28,2023-03-22 08:29:00,397.66,397.67,397.66,4,397.67,266,397.676278,-2.5146478235700216e-05,2.5147110596969532e-05
29,2023-03-22 08:30:00,397.67,397.67,397.67,6,397.67,1099,397.675614,0.0,0.0
30,2023-03-22 08:34:00,397.78,397.78,397.78,5,397.78,406,397.779828,0.0,0.0
31,2023-03-22 08:37:00,397.68,397.73,397.68,7,397.73,1316,397.688191,-0.00012571342367940905,0.00012572922953131002
32,2023-03-22 08:38:00,397.81,397.81,397.75,6,397.75,388,397.774304,0.0001508485229415519,0.0001508485229415519
33,2023-03-22 08:39:00,397.79,397.79,397.78,3,397.78,1100,397.786364,2.5139524360319143e-05,2.5139524360319143e-05
34,2023-03-22 08:40:00,397.83,397.83,397.83,2,397.83,101,397.83,0.0,0.0
35,2023-03-22 08:45:00,397.96,397.96,397.96,5,397.96,641,397.95454,0.0,0.0
36,2023-03-22 08:46:00,397.9,397.9,397.9,1,397.9,100,397.9,0.0,0.0
37,2023-03-22 08:47:00,397.98,397.98,397.91,5,397.91,1119,397.917444,0.00017591917770348365,0.00017591917770348365
38,2023-03-22 08:48:00,398.0,398.0,398.0,7,398.0,356,398.014775,0.0,0.0
39,2023-03-22 08:49:00,398.18,398.19,398.18,7,398.19,382,398.156806,-2.5113639217436163e-05,2.5114269928150348e-05
40,2023-03-22 08:50:00,398.07,398.15,398.07,8,398.15,547,398.112706,-0.00020092929800322512,0.0002009696786996862
41,2023-03-22 08:51:00,398.0,398.04,398.0,12,398.04,1820,398.023214,-0.00010049241282288329,0.00010050251256286549
42,2023-03-22 08:54:00,397.95,397.95,397.95,3,397.95,206,397.940194,0.0,0.0
43,2023-03-22 08:57:00,397.92,397.92,397.87,3,397.87,600,397.878333,0.0001256691884284097,0.0001256691884284097
44,2023-03-22 08:58:00,397.96,397.96,397.94,9,397.94,365,397.947233,5.0258832989852265e-05,5.0258832989852265e-05
45,2023-03-22 08:59:00,397.85,397.85,397.85,4,397.85,202,397.868168,0.0,0.0
46,2023-03-22 09:00:00,397.81,397.88,397.81,9,397.88,834,397.823609,-0.00017593244194227703,0.00017596339961286337
47,2023-03-22 09:01:00,397.76,397.76,397.76,6,397.76,322,397.767267,0.0,0.0
48,2023-03-22 09:02:00,397.89,397.9,397.89,4,397.9,250,397.8952,-2.513194269914779e-05,2.5132574329565723e-05
49,2023-03-22 09:04:00,397.92,397.97,397.92,3,397.97,501,397.92994,-0.00012563761087522015,0.0001256533976679015
50,2023-03-22 09:05:00,397.97,397.97,397.97,2,397.97,110,397.97,0.0,0.0
51,2023-03-22 09:06:00,398.0,398.0,398.0,4,398.0,601,398.010017,0.0,0.0
52,2023-03-22 09:09:00,397.99,397.99,397.99,6,397.99,2521,397.991079,0.0,0.0
53,2023-03-22 09:11:00,398.14,398.14,398.09,6,398.09,1551,398.099381,0.00012559973875257195,0.00012559973875257195
54,2023-03-22 09:13:00,398.08,398.08,398.08,2,398.08,101,398.080297,0.0,0.0
55,2023-03-22 09:14:00,398.07,398.07,398.07,3,398.07,170,398.049412,0.0,0.0
56,2023-03-22 09:15:00,398.05,398.05,398.02,10,398.05,1520,398.040526,0.0,7.537309682937932e-05
57,2023-03-22 09:16:00,398.13,398.13,398.13,6,398.13,185,398.119297,0.0,0.0
58,2023-03-22 09:17:00,398.2,398.2,398.13,20,398.15,11500,398.184078,0.00012558081125206924,0.00017582196769897566
59,2023-03-22 09:18:00,398.14,398.19,398.14,3,398.19,700,398.162857,-0.00012556819608732357,0.00012558396543932128
60,2023-03-22 09:21:00,398.15,398.15,398.14,2,398.14,500,398.142,2.51167930878357e-05,2.51167930878357e-05
61,2023-03-22 09:22:00,398.24,398.24,398.24,10,398.24,1302,398.245246,0.0,0.0
62,2023-03-22 09:24:00,398.31,398.31,398.31,5,398.31,620,398.301177,0.0,0.0
63,2023-03-22 09:25:00,398.27,398.27,398.27,2,398.27,1030,398.270583,0.0,0.0
64,2023-03-22 09:27:00,398.4,398.4,398.4,8,398.4,477,398.402621,0.0,0.0
65,2023-03-22 09:28:00,398.46,398.46,398.45,7,398.45,1675,398.452687,2.50972518508995e-05,2.50972518508995e-05
66,2023-03-22 09:29:00,398.46,398.46,398.46,2,398.46,270,398.457407,0.0,0.0
67,2023-03-22 09:30:00,398.4,398.4,398.4,3,398.4,127,398.399055,0.0,0.0
68,2023-03-22 09:31:00,398.32,398.32,398.32,3,398.32,631,398.320127,0.0,0.0
69,2023-03-22 09:32:00,398.37,398.38,398.37,4,398.38,244,398.378648,-2.5101661729983698e-05,2.510229183922209e-05
70,2023-03-22 09:33:00,398.32,398.32,398.32,3,398.32,303,398.319604,0.0,0.0
71,2023-03-22 09:34:00,398.37,398.37,398.36,5,398.36,1303,398.366999,2.5102921980095654e-05,2.5102921980095654e-05
72,2023-03-22 09:35:00,398.34,398.36,398.34,3,398.36,365,398.352329,-5.0205843960334e-05,5.020836471365832e-05
73,2023-03-22 09:36:00,398.45,398.45,398.45,1,398.45,100,398.45,0.0,0.0
74,2023-03-22 09:37:00,398.45,398.46,398.45,3,398.46,507,398.451972,-2.5096621994656692e-05,2.50972518508995e-05
75,2023-03-22 09:38:00,398.54,398.54,398.49,8,398.49,1353,398.53289,0.00012547366307814843,0.00012547366307814843
76,2023-03-22 09:39:00,398.53,398.53,398.48,5,398.48,1064,398.523637,0.0001254768118850495,0.0001254768118850495
77,2023-03-22 09:41:00,398.53,398.53,398.53,2,398.53,102,398.532157,0.0,0.0
78,2023-03-22 09:43:00,398.54,398.54,398.54,8,398.54,631,398.527274,0.0,0.0
79,2023-03-22 09:44:00,398.48,398.48,398.46,5,398.46,688,398.45939,5.0193243989456045e-05,5.0193243989456045e-05
