,timestamp,close,high,low,trade_count,open,volume,vwap,calculated_percentage,calculated_volatility
0,2021-07-28 08:00:00,439.13,439.13,438.83,13,439.0,1111,438.994096,0.0002961275626423587,0.0006836360321764951
1,2021-07-28 08:10:00,439.26,439.26,439.09,15,439.12,709,439.134753,0.00031881945709597915,0.00038716436265917223
2,2021-07-28 08:20:00,439.35,439.42,439.2,24,439.2,2508,439.335271,0.0003415300546448864,0.0005009107468124483
3,2021-07-28 08:30:00,439.62,439.68,439.47,20,439.47,1960,439.574811,0.00034132022663657874,0.0004778483172912361
4,2021-07-28 08:40:00,439.7,439.77,439.57,18,439.77,2309,439.662988,-0.00015917411374125835,0.0004549901039652129
5,2021-07-28 08:50:00,439.91,439.95,439.67,31,439.67,2281,439.826568,0.0005458639434121252,0.0006368412673140599
6,2021-07-28 09:00:00,439.75,439.9,439.75,32,439.9,5631,439.808776,-0.0003409865878608258,0.000341102899374593
7,2021-07-28 09:10:00,439.75,439.85,439.73,18,439.76,2693,439.773973,-2.2739676186990417e-05,0.000272894730857582
8,2021-07-28 09:30:00,439.56,439.82,439.56,14,439.82,2405,439.610878,-0.0005911509253785432,0.0005915005915005708
9,2021-07-28 09:40:00,439.69,439.7,439.69,3,439.7,500,439.698,-2.2742779167593598e-05,2.2743296413361472e-05
10,2021-07-28 09:50:00,439.79,439.85,439.76,20,439.76,2030,439.816059,6.821902856110051e-05,0.00020465708568317227
11,2021-07-28 10:10:00,439.25,439.41,438.96,87,439.41,11561,439.101465,-0.0003641246216518172,0.0010251503553855602
12,2021-07-28 10:20:00,439.03,439.11,439.0,27,439.11,3999,439.024746,-0.0001821866958166312,0.00025056947608203563
13,2021-07-28 10:30:00,439.15,439.18,439.07,28,439.07,5223,439.089512,0.0001822032933244906,0.0002505295283212555
14,2021-07-28 10:40:00,439.21,439.3,439.17,32,439.17,8845,439.240523,9.108090261166204e-05,0.0002960129334881605
15,2021-07-28 10:50:00,439.25,439.25,438.84,51,439.2,5951,439.115871,0.00011384335154829547,0.0009342812870294983
16,2021-07-28 11:00:00,439.24,439.29,439.0,82,439.18,7739,439.144602,0.00013661824308939903,0.0006605922551253313
17,2021-07-28 11:10:00,439.06,439.28,439.05,90,439.22,14124,439.170063,-0.0003642821365147876,0.0005238583304861892
18,2021-07-28 11:20:00,439.27,439.32,439.13,56,439.25,6466,439.221616,4.553215708590054e-05,0.00043267369571652525
19,2021-07-28 11:30:00,439.49,439.56,439.28,273,439.28,51213,439.472595,0.0004780549990895019,0.000637406665452626
20,2021-07-28 11:40:00,439.23,439.51,439.22,120,439.5,21898,439.381944,-0.0006143344709897197,0.0006602613724328664
21,2021-07-28 11:50:00,439.13,439.23,438.89,136,439.23,22312,439.049768,-0.00022767115178840865,0.0007746815830846724
22,2021-07-28 12:00:00,439.15,439.84,438.42,478,439.2599,81440,439.191249,-0.00025019356422026855,0.0032389033347017906
23,2021-07-28 12:10:00,439.24,439.25,438.94,250,439.1,43875,439.130114,0.00031883397859254465,0.0007062468674534156
24,2021-07-28 12:20:00,439.47,439.48,439.19,371,439.24,91268,439.341276,0.0005236317275294103,0.0006603064732804036
25,2021-07-28 12:30:00,439.54,439.62,439.41,261,439.47,35818,439.480467,0.00015928277243041204,0.00047791356591788883
26,2021-07-28 12:40:00,439.45,439.52,439.36,318,439.52,60483,439.424202,-0.00015926465234800051,0.00036416605972316134
