,timestamp,close,high,low,trade_count,open,volume,vwap,calculated_percentage
0,2022-09-21 08:00:00,383.9,384.02,383.9,69,383.96,3411,383.942838,-0.00015626627773727023
1,2022-09-21 08:05:00,384.09,384.1,383.75,40,383.8,4846,383.973223,0.0007556018759769766
2,2022-09-21 08:10:00,384.11,384.2,384.06,18,384.1,3006,384.085925,2.6034886748218967e-05
3,2022-09-21 08:15:00,384.49,384.49,384.09,50,384.09,6209,384.243807,0.0010414225832488066
4,2022-09-21 08:20:00,384.61,384.63,384.49,25,384.49,1912,384.539592,0.0003121017451689369
5,2022-09-21 08:25:00,384.4,384.65,384.4,28,384.64,1577,384.570025,-0.0006239600665557641
6,2022-09-21 08:30:00,384.42,384.46,384.24,29,384.43,1650,384.380455,-2.601253804331323e-05
7,2022-09-21 08:35:00,384.51,384.51,384.45,27,384.45,1511,384.483746,0.00015606710885681435
8,2022-09-21 08:40:00,384.59,384.62,384.59,14,384.61,1051,384.597193,-5.2000728010292645e-05
9,2022-09-21 08:45:00,384.58,384.58,384.52,14,384.52,788,384.545863,0.00015603869759700997
10,2022-09-21 08:50:00,384.43,384.48,384.43,7,384.48,372,384.479785,-0.0001300457761132214
11,2022-09-21 08:55:00,384.39,384.47,384.39,17,384.47,3613,384.411412,-0.0002080786537312168
12,2022-09-21 09:00:00,384.29,384.41,384.23,14,384.41,1014,384.301361,-0.00031216669701621846
13,2022-09-21 09:05:00,384.23,384.28,384.23,8,384.28,654,384.244236,-0.00013011345893607402
14,2022-09-21 09:10:00,384.21,384.28,384.21,8,384.24,1087,384.246568,-7.807620237359347e-05
15,2022-09-21 09:15:00,384.06,384.17,384.06,17,384.17,2006,384.125678,-0.00028633157196036554
16,2022-09-21 09:20:00,384.04,384.1,384.04,6,384.1,921,384.076982,-0.00015620932048946177
17,2022-09-21 09:25:00,384.36,384.36,384.2,15,384.2,1185,384.300253,0.00041644976574707187
18,2022-09-21 09:30:00,384.74,384.74,384.59,19,384.59,952,384.633078,0.00039002574169904084
19,2022-09-21 09:35:00,384.79,384.84,384.7,37,384.7,12477,384.793045,0.00023394853132319168
20,2022-09-21 09:40:00,384.91,384.95,384.82,29,384.82,1592,384.933982,0.00023387557819248438
21,2022-09-21 09:45:00,385.19,385.27,384.93,58,384.93,5135,385.144557,0.0006754474839580987
22,2022-09-21 09:50:00,385.06,385.32,385.06,57,385.27,7368,385.193146,-0.000545072286967528
23,2022-09-21 09:55:00,385.21,385.22,385.09,23,385.09,2087,385.181366,0.00031161546651433314
24,2022-09-21 10:00:00,385.07,385.31,385.07,121,385.24,30210,385.241631,-0.00044128335583017316
25,2022-09-21 10:05:00,384.98,385.09,384.95,29,385.07,4700,385.050392,-0.00023372373854097954
26,2022-09-21 10:10:00,384.98,384.98,384.9,20,384.96,1441,384.950548,5.195344970916109e-05
27,2022-09-21 10:15:00,385.04,385.16,384.96,52,384.99,4220,385.088358,0.00012987350320790505
28,2022-09-21 10:20:00,384.75,385.02,384.75,32,385.02,4075,384.853202,-0.0007012622720897144
29,2022-09-21 10:25:00,385.05,385.05,384.69,33,384.69,3052,384.901435,0.0009358184512204987
