original_time,start_time,end_time,price_change,volatility,id,start_date,threshold_0.1perc,threshold_0.25perc,threshold_0.5perc,threshold_0.75perc,statement_price_change,statement_price_movement,interval_price_movement,extracted_statement_text_25_score,extracted_news_25_score,extracted_statement_text_30_score,extracted_news_30_score,extracted_statement_text_35_score,extracted_news_35_score,extracted_statement_text_40_score,extracted_news_40_score,extracted_statement_text_45_score,extracted_news_45_score,extracted_statement_text_50_score,extracted_news_50_score,extracted_statement_text_55_score,extracted_news_55_score
2021-01-27 18:30:00,2021-01-27 18:44:00,2021-01-27 18:45:00,0.0016667693317512,0.001430160495789,14,2021-01-27,TRUE,FALSE,FALSE,FALSE,0.0004935863284596960,Positive,Positive,0.4827,0.5966,0.4666,0.5924,0.4666,0.5879,0.4666,0.5843,0.4666,0.5809,0.4666,0.578,0.4666,0.5751
2021-01-27 18:30:00,2021-01-27 18:45:00,2021-01-27 18:46:00,-0.0004141929750912,0.0009770054042597,15,2021-01-27,FALSE,FALSE,FALSE,FALSE,0.0004935863284596960,Positive,Negative,0.3646,0.4364,0.3466,0.4314,0.3466,0.4274,0.3466,0.4235,0.3466,0.4198,0.3466,0.4165,0.3466,0.4137
2021-01-27 18:30:00,2021-01-27 18:46:00,2021-01-27 18:47:00,0.0002528537608026,0.0004502595613942,16,2021-01-27,FALSE,FALSE,FALSE,FALSE,0.0004935863284596960,Positive,Positive,0.4429,0.548,0.4312,0.5424,0.4312,0.5373,0.4312,0.533,0.4312,0.5293,0.4312,0.5261,0.4312,0.5233
2021-01-27 18:30:00,2021-01-27 18:47:00,2021-01-27 18:48:00,-0.0001562221305372,0.0005822696122783,17,2021-01-27,FALSE,FALSE,FALSE,FALSE,0.0004935863284596960,Positive,Negative,0.4263,0.5356,0.4106,0.53,0.4106,0.525,0.4106,0.5209,0.4106,0.5171,0.4106,0.5136,0.4106,0.5106
2021-01-27 18:30:00,2021-01-27 18:48:00,2021-01-27 18:49:00,-0.0003573566303971,0.0002647603918454,18,2021-01-27,FALSE,FALSE,FALSE,FALSE,0.0004935863284596960,Positive,Negative,0.4565,0.6162,0.4369,0.6078,0.4369,0.6006,0.4369,0.5945,0.4369,0.5894,0.4369,0.585,0.4369,0.581
2021-01-27 18:30:00,2021-01-27 18:49:00,2021-01-27 18:50:00,0.0002178179949044,0.0004634533898303,19,2021-01-27,FALSE,FALSE,FALSE,FALSE,0.0004935863284596960,Positive,Positive,0.4228,0.6185,0.4018,0.6128,0.4018,0.608,0.4018,0.6032,0.4018,0.5983,0.4018,0.5939,0.4018,0.5893
2021-01-27 18:30:00,2021-01-27 18:50:00,2021-01-27 18:51:00,0.0003114170746438,0.0005826579797659,20,2021-01-27,FALSE,FALSE,FALSE,FALSE,0.0004935863284596960,Positive,Positive,0.3706,0.6134,0.3495,0.6086,0.3495,0.6033,0.3495,0.5985,0.3495,0.5937,0.3495,0.5889,0.3495,0.5843
2021-01-27 18:30:00,2021-01-27 18:51:00,2021-01-27 18:52:00,-0.0007087697282109,0.0005562913907284,21,2021-01-27,FALSE,FALSE,FALSE,FALSE,0.0004935863284596960,Positive,Negative,0.4393,0.6201,0.4218,0.6153,0.4218,0.6109,0.4218,0.6051,0.4218,0.5997,0.4218,0.5944,0.4218,0.5897
2021-01-27 18:30:00,2021-01-27 18:52:00,2021-01-27 18:53:00,-0.0007087697282109,0.0002647814229352,22,2021-01-27,FALSE,FALSE,FALSE,FALSE,0.0004935863284596960,Positive,Positive,0.4074,0.5531,0.3914,0.5468,0.3914,0.5413,0.3914,0.5365,0.3914,0.5324,0.3914,0.5286,0.3914,0.525
2021-01-27 18:30:00,2021-01-27 18:53:00,2021-01-27 18:54:00,0.0003679207848774,0.0004501641775236,23,2021-01-27,FALSE,FALSE,FALSE,FALSE,0.0004935863284596960,Positive,Positive,0.4076,0.6091,0.3874,0.6008,0.3874,0.5941,0.3874,0.5883,0.3874,0.5828,0.3874,0.5776,0.3874,0.5728
