,timestamp,close,high,low,trade_count,open,volume,vwap,calculated_percentage
0,2023-09-20 08:00:00,442.72,442.98,442.72,28,442.98,2024,442.885479,-0.0005869339473565193
1,2023-09-20 08:05:00,442.78,442.78,442.65,20,442.65,1146,442.725855,0.00029368575624081207
2,2023-09-20 08:10:00,442.71,442.88,442.71,17,442.76,1169,442.78769,-0.00011292799710906895
3,2023-09-20 08:15:00,442.99,442.99,442.76,37,442.77,6397,442.934617,0.0004968719651286838
4,2023-09-20 08:20:00,443.25,443.25,443.05,47,443.05,6324,443.200768,0.0004514163186998953
5,2023-09-20 08:25:00,443.15,443.24,443.15,34,443.2,5066,443.178448,-0.00011281588447655995
6,2023-09-20 08:30:00,443.3,443.3,443.16,43,443.16,4852,443.23346,0.00031591298853684077
7,2023-09-20 08:35:00,443.27,443.3,443.26,16,443.3,1904,443.273177,-6.7674261222715e-05
8,2023-09-20 08:40:00,443.35,443.35,443.26,32,443.26,4858,443.309105,0.00020304110454368054
9,2023-09-20 08:45:00,443.36,443.44,443.35,35,443.35,3491,443.382916,2.2555543024677806e-05
10,2023-09-20 08:50:00,443.33,443.37,443.25,30,443.35,3559,443.322335,-4.5111086049483825e-05
11,2023-09-20 08:55:00,443.39,443.43,443.36,27,443.36,1850,443.386594,6.766510285089479e-05
12,2023-09-20 09:00:00,443.53,443.56,443.43,81,443.45,11375,443.508914,0.0001804036531739409
13,2023-09-20 09:05:00,443.35,443.49,443.35,59,443.49,4883,443.425378,-0.0003156779183295821
14,2023-09-20 09:10:00,443.27,443.35,443.27,21,443.33,2277,443.307773,-0.0001353393634538657
15,2023-09-20 09:15:00,443.24,443.29,443.24,5,443.29,1472,443.249069,-0.00011279297976496507
16,2023-09-20 09:20:00,443.4,443.4,443.34,12,443.34,3700,443.362162,0.0001353363107321746
17,2023-09-20 09:25:00,443.34,443.4,443.34,9,443.4,1117,443.368809,-0.0001353179972936452
18,2023-09-20 09:35:00,443.44,443.49,443.38,22,443.4,1752,443.427272,9.02119981958062e-05
19,2023-09-20 09:40:00,443.39,443.41,443.39,5,443.41,557,443.393591,-4.510498184533198e-05
20,2023-09-20 09:45:00,443.42,443.44,443.42,8,443.43,825,443.433527,-2.2551473738788322e-05
21,2023-09-20 09:50:00,443.5,443.5,443.41,16,443.41,1146,443.453124,0.00020297241830354522
22,2023-09-20 09:55:00,443.6,443.68,443.57,21,443.65,3311,443.600151,-0.00011270145384865216
23,2023-09-20 10:00:00,443.48,443.53,443.48,17,443.53,3976,443.502626,-0.00011273194597874896
24,2023-09-20 10:05:00,443.52,443.53,443.5,13,443.5,2119,443.513809,4.509582863581017e-05
25,2023-09-20 10:10:00,443.58,443.59,443.48,19,443.48,2401,443.545872,0.00022548931180654344
26,2023-09-20 10:15:00,443.5,443.67,443.5,17,443.65,1643,443.567157,-0.0003381043615462127
27,2023-09-20 10:20:00,443.58,443.6,443.5,18,443.5,3249,443.574441,0.00018038331454336886
28,2023-09-20 10:25:00,443.46,443.55,443.45,21,443.52,4181,443.491053,-0.0001352813852813904
29,2023-09-20 10:30:00,443.43,443.46,443.33,38,443.46,6971,443.377755,-6.764984440529634e-05
30,2023-09-20 10:35:00,443.51,443.51,443.45,12,443.45,632,443.481471,0.0001353027398804877
31,2023-09-20 10:40:00,443.6,443.6,443.53,12,443.55,1331,443.548047,0.00011272686281143359
32,2023-09-20 10:45:00,443.41,443.61,443.41,21,443.6,3525,443.472428,-0.0004283137962127992
33,2023-09-20 10:50:00,443.54,443.54,443.53,11,443.53,3410,443.530278,2.2546389195877953e-05
34,2023-09-20 10:55:00,443.63,443.63,443.51,14,443.59,1905,443.55273,9.017335828134192e-05
35,2023-09-20 11:00:00,443.64,443.64,443.55,67,443.59,3865,443.58289,0.00011271669785164538
36,2023-09-20 11:05:00,443.66,443.71,443.62,44,443.62,2272,443.664635,9.016726026784289e-05
37,2023-09-20 11:10:00,443.64,443.75,443.64,77,443.69,8049,443.685396,-0.00011269129347069208
38,2023-09-20 11:15:00,443.7,443.7,443.66,97,443.68,19523,443.69322,4.507753335733368e-05
39,2023-09-20 11:20:00,443.65,443.79,443.65,73,443.7,20943,443.714582,-0.00011268875366241012
40,2023-09-20 11:25:00,443.51,443.64,443.5,77,443.64,11864,443.562489,-0.00029303038499683406
41,2023-09-20 11:30:00,443.57,443.57,443.51,54,443.55,6165,443.536089,4.509074512452217e-05
42,2023-09-20 11:35:00,443.75,443.76,443.57,79,443.57,11279,443.699799,0.00040579840836848033
43,2023-09-20 11:40:00,443.73,443.8,443.72,80,443.77,19563,443.788293,-9.013678256746427e-05
44,2023-09-20 11:45:00,443.72,443.77,443.67,71,443.77,13168,443.736806,-0.00011267097820933034
45,2023-09-20 11:50:00,443.65,443.735,443.65,62,443.73,8467,443.701391,-0.00018028981587911777
46,2023-09-20 11:55:00,443.69,443.74,443.67,43,443.7,6577,443.715722,-2.2537750732456403e-05
47,2023-09-20 12:00:00,443.78,443.79,442.24,575,443.5919,47521,443.605556,0.00042403840106179365
48,2023-09-20 12:05:00,443.83,443.83,443.7,132,443.74,27070,443.783354,0.0002028214720331162
49,2023-09-20 12:10:00,443.72,443.84,443.66,106,443.83,11269,443.716228,-0.0002478426424530942
