,timestamp,close,high,low,trade_count,open,volume,vwap,calculated_percentage
0,2021-07-28 08:00:00,438.83,439.0,438.83,10,439.0,651,438.919263,-0.0003872437357631342
1,2021-07-28 08:05:00,439.13,439.13,439.09,3,439.09,460,439.1,9.109749709631389e-05
2,2021-07-28 08:10:00,439.09,439.12,439.09,13,439.12,571,439.104659,-6.83184550920695e-05
3,2021-07-28 08:15:00,439.26,439.26,439.26,2,439.26,138,439.259275,0.0
4,2021-07-28 08:20:00,439.42,439.42,439.2,19,439.2,2167,439.332944,0.0005009107468124483
5,2021-07-28 08:25:00,439.35,439.35,439.35,5,439.35,341,439.350059,0.0
6,2021-07-28 08:30:00,439.64,439.68,439.47,19,439.47,1860,439.572382,0.00038682959018808806
7,2021-07-28 08:35:00,439.62,439.62,439.62,1,439.62,100,439.62,0.0
8,2021-07-28 08:40:00,439.57,439.77,439.57,13,439.77,1309,439.637005,-0.00045478318211789943
9,2021-07-28 08:45:00,439.7,439.7,439.69,5,439.69,1000,439.697,2.2743296413361472e-05
10,2021-07-28 08:50:00,439.8,439.8,439.67,15,439.67,875,439.710172,0.00029567630268154626
11,2021-07-28 08:55:00,439.91,439.95,439.87,16,439.92,1406,439.899004,-2.273140571010844e-05
12,2021-07-28 09:00:00,439.9,439.9,439.9,1,439.9,100,439.9,0.0
13,2021-07-28 09:05:00,439.75,439.84,439.75,31,439.84,5531,439.807127,-0.00020461986176785875
14,2021-07-28 09:10:00,439.73,439.76,439.73,7,439.76,850,439.753482,-6.821902856097125e-05
15,2021-07-28 09:15:00,439.75,439.85,439.75,11,439.77,1843,439.783424,-4.5478318211751166e-05
16,2021-07-28 09:30:00,439.82,439.82,439.82,3,439.82,305,439.82,0.0
17,2021-07-28 09:35:00,439.56,439.6,439.56,11,439.6,2100,439.580505,-9.099181073708021e-05
18,2021-07-28 09:40:00,439.7,439.7,439.7,2,439.7,400,439.7,0.0
19,2021-07-28 09:45:00,439.69,439.69,439.69,1,439.69,100,439.69,0.0
20,2021-07-28 09:50:00,439.78,439.78,439.76,4,439.76,450,439.768889,4.5479352373980834e-05
21,2021-07-28 09:55:00,439.79,439.85,439.79,16,439.84,1580,439.829493,-0.00011367770098207195
22,2021-07-28 10:10:00,439.1,439.41,439.1,29,439.41,3124,439.189017,-0.0007054914544502907
23,2021-07-28 10:15:00,439.25,439.25,438.96,58,439.02,8437,439.069046,0.0005238941278302087
24,2021-07-28 10:20:00,439.03,439.11,439.0,27,439.11,3999,439.024746,-0.0001821866958166312
25,2021-07-28 10:30:00,439.1,439.1,439.07,20,439.07,4561,439.079481,6.832623499676488e-05
26,2021-07-28 10:35:00,439.15,439.18,439.15,8,439.15,662,439.158626,0.0
27,2021-07-28 10:40:00,439.22,439.22,439.17,5,439.17,1500,439.216667,0.00011385112826470698
28,2021-07-28 10:45:00,439.21,439.3,439.21,27,439.23,7345,439.245394,-4.553423035775938e-05
29,2021-07-28 10:50:00,438.89,439.2,438.84,40,439.2,4329,439.091894,-0.0007058287795992766
30,2021-07-28 10:55:00,439.25,439.25,439.13,11,439.15,1622,439.179864,0.00022771262666520037
31,2021-07-28 11:00:00,439.15,439.22,439.0,48,439.18,5210,439.103674,-6.830912154476424e-05
32,2021-07-28 11:05:00,439.24,439.29,439.15,34,439.22,2529,439.228917,4.553526706429992e-05
33,2021-07-28 11:10:00,439.28,439.28,439.21,36,439.22,5759,439.23768,0.00013660580119289974
34,2021-07-28 11:15:00,439.06,439.28,439.05,54,439.28,8365,439.123511,-0.0005008195228555146
35,2021-07-28 11:20:00,439.23,439.32,439.13,26,439.25,2081,439.226972,-4.553215708590054e-05
36,2021-07-28 11:25:00,439.27,439.27,439.2,30,439.21,4385,439.219074,0.0001366089114546624
37,2021-07-28 11:30:00,439.53,439.53,439.28,184,439.28,41916,439.464037,0.0005691130941540703
38,2021-07-28 11:35:00,439.49,439.56,439.44,89,439.54,9297,439.511178,-0.00011375528962099323
39,2021-07-28 11:40:00,439.36,439.51,439.3,76,439.5,15216,439.4185,-0.0003185437997724377
40,2021-07-28 11:45:00,439.23,439.36,439.22,44,439.36,6682,439.298698,-0.0002958849235251171
41,2021-07-28 11:50:00,438.98,439.23,438.93,88,439.23,16279,439.047133,-0.0005691778794708922
42,2021-07-28 11:55:00,439.13,439.15,438.89,48,438.9,6033,439.056877,0.0005240373661426707
43,2021-07-28 12:00:00,439.17,439.84,438.42,282,439.2599,35392,439.184497,-0.0002046624333338875
44,2021-07-28 12:05:00,439.15,439.25,439.12,196,439.16,46048,439.196438,-2.277074414802748e-05
45,2021-07-28 12:10:00,438.96,439.15,438.94,102,439.1,10112,439.044868,-0.0003188339785926741
46,2021-07-28 12:15:00,439.24,439.25,439.0,148,439.0,33763,439.155645,0.0005466970387243943
47,2021-07-28 12:20:00,439.37,439.43,439.19,226,439.24,51805,439.272826,0.0002959657590383286
48,2021-07-28 12:25:00,439.47,439.48,439.36,145,439.37,39463,439.431132,0.00022759860709657632
49,2021-07-28 12:30:00,439.44,439.5,439.41,98,439.47,17003,439.433024,-6.826404532739335e-05
50,2021-07-28 12:35:00,439.54,439.62,439.45,163,439.458,18815,439.523342,0.00018659348561180734
51,2021-07-28 12:40:00,439.39,439.52,439.38,119,439.52,9611,439.435565,-0.000295777211503448
52,2021-07-28 12:45:00,439.45,439.46,439.36,199,439.41,50872,439.422055,9.103115541285728e-05
53,2021-07-28 12:50:00,439.41,439.48,439.36,176,439.42,44525,439.430681,-2.275727094804721e-05
54,2021-07-28 12:55:00,439.38,439.45,439.32,85,439.4,11302,439.379007,-4.5516613563909446e-05
55,2021-07-28 13:00:00,439.69,439.75,439.42,466,439.42,107560,439.645083,0.0006144463155977921
56,2021-07-28 13:05:00,439.67,439.76,439.64,258,439.68,38969,439.716242,-2.2743813682657625e-05
57,2021-07-28 13:10:00,439.6,439.66,439.58,229,439.66,54785,439.605319,-0.00013646908975117653
58,2021-07-28 13:15:00,439.79,439.8,439.64,217,439.64,31062,439.716088,0.0003411882449277457
59,2021-07-28 13:20:00,439.75,439.82,439.75,188,439.79,25380,439.784219,-9.095250005689184e-05
60,2021-07-28 13:25:00,439.7,439.74,439.55,457,439.71,94425,439.64317,-2.2742261945352402e-05
61,2021-07-28 13:30:00,439.32,439.8301,439.195,11224,439.68,1391295,439.482817,-0.0008187772925764502
62,2021-07-28 13:35:00,438.57,439.33,438.42,11250,439.3,1228926,438.816213,-0.0016617345777373508
63,2021-07-28 13:40:00,438.3092,438.62,438.16,7600,438.59,831204,438.39567,-0.0006402334754554351
