,timestamp,close,high,low,trade_count,open,volume,vwap,calculated_percentage
0,2021-01-27 00:00:00,384.34,384.34,384.05,83,384.29,11578,384.173844,0.00013011007312174275
1,2021-01-27 00:05:00,384.0,384.25,384.0,99,384.2,18170,384.085503,-0.0005205622071837289
2,2021-01-27 00:10:00,384.09,384.09,384.0,25,384.03,2580,384.032752,0.00015623779392235574
3,2021-01-27 00:15:00,384.16,384.24,384.0,52,384.09,8675,384.106339,0.00018224895206865585
4,2021-01-27 00:20:00,384.12,384.24,384.12,44,384.16,3621,384.16916,-0.00010412328196590083
5,2021-01-27 00:25:00,384.26,384.39,384.24,52,384.24,7491,384.361327,5.2050801582297024e-05
6,2021-01-27 00:30:00,384.34,384.36,384.28,43,384.36,6337,384.315755,-5.2034550941925935e-05
7,2021-01-27 00:35:00,384.3,384.34,384.28,22,384.31,8533,384.304817,-2.60206604043374e-05
8,2021-01-27 00:40:00,384.16,384.3,384.12,24,384.3,3870,384.148936,-0.00036429872495442715
9,2021-01-27 00:45:00,384.16,384.17,384.1,38,384.11,5170,384.125414,0.0001301710447528348
10,2021-01-27 00:50:00,384.14,384.14,384.01,61,384.13,12415,384.066183,2.603285346104419e-05
11,2021-01-27 00:55:00,384.21,384.21,384.07,54,384.07,9258,384.155132,0.0003645168849428134
12,2021-01-27 09:00:00,383.66,383.66,383.22,42,383.25,4057,383.359164,0.0010697977821266145
13,2021-01-27 09:05:00,383.54,383.68,383.53,18,383.68,1792,383.631568,-0.00036488740617177427
14,2021-01-27 09:10:00,383.5,383.6,383.43,10,383.5,788,383.522132,0.0
15,2021-01-27 09:15:00,383.56,383.6,383.56,5,383.56,490,383.570592,0.0
16,2021-01-27 09:20:00,383.6,383.79,383.6,10,383.7,1499,383.740293,-0.000260620276257404
17,2021-01-27 09:25:00,383.6,383.67,383.6,19,383.64,5731,383.648892,-0.00010426441455521744
18,2021-01-27 09:35:00,383.5,383.5,383.5,2,383.5,127,383.529764,0.0
19,2021-01-27 09:40:00,383.45,383.49,383.43,4,383.43,929,383.44268,5.216075946061031e-05
20,2021-01-27 09:45:00,383.44,383.44,383.4,8,383.41,646,383.420387,7.8245220521042e-05
21,2021-01-27 09:50:00,383.34,383.34,383.32,4,383.32,730,383.322329,5.217572785135608e-05
22,2021-01-27 09:55:00,383.39,383.41,383.33,6,383.33,527,383.38074,0.00015652310020087724
23,2021-01-27 10:00:00,383.24,383.34,383.24,9,383.3,1523,383.269626,-0.0001565353509000842
24,2021-01-27 10:05:00,383.2,383.2,383.1,10,383.2,1785,383.167955,0.0
25,2021-01-27 10:10:00,382.98,383.19,382.96,49,383.19,5466,383.000971,-0.0005480310028966818
